tripduration,starttime,stoptime,start,station,id,start,station,latitude,start,station,longitude,end,station,id,end,station,latitude,end,station,longitude,bikeid,birth,year,gender
382,2/1/14,0:00,2/1/14,0:06,294,40.73049393,-73.9957214,265,40.72229346,-73.99147535,21101,1991,1,,,,,,,,,,,
372,2/1/14,0:00,2/1/14,0:06,285,40.73454567,-73.99074142,439,40.7262807,-73.98978041,15456,1979,2,,,,,,,,,,,
591,2/1/14,0:00,2/1/14,0:10,247,40.73535398,-74.00483091,251,40.72317958,-73.99480012,16281,1948,2,,,,,,,,,,,
583,2/1/14,0:00,2/1/14,0:10,357,40.73261787,-73.99158043,284,40.73901691,-74.00263761,17400,1981,1,,,,,,,,,,,
223,2/1/14,0:00,2/1/14,0:04,401,40.72019576,-73.98997825,439,40.7262807,-73.98978041,19341,1990,1,,,,,,,,,,,
541,2/1/14,0:00,2/1/14,0:09,152,40.71473993,-74.00910627,331,40.71173107,-73.99193043,18674,1990,1,,,,,,,,,,,
354,2/1/14,0:01,2/1/14,0:06,325,40.73624527,-73.98473765,439,40.7262807,-73.98978041,16975,1991,1,,,,,,,,,,,
916,2/1/14,0:01,2/1/14,0:16,354,40.69363137,-73.96223558,395,40.68807003,-73.98410637,16020,1978,1,,,,,,,,,,,
,2/1/14,0:01,2/1/14,0:06,375,40.72679454,-73.99695094,369,40.73224119,-74.00026394,18891,1944,1,,,,,,,,,,,
439,2/1/14,0:02,2/1/14,0:09,285,40.73454567,-73.99074142,247,40.73535398,-74.00483091,20875,1983,2,,,,,,,,,,,
959,2/1/14,0:02,2/1/14,0:18,518,40.74780373,-73.9734419,439,40.7262807,-73.98978041,15263,1969,1,,,,,,,,,,,
359,2/1/14,0:02,2/1/14,0:08,40.744219,-73.97121214,487,40.73314259,-73.97573881,19377,1986,1,,,,,,,,,,,,
1040,2/1/14,0:02,2/1/14,0:19,388,40.74971775,-74.00295035,336,40.73047747,-73.99906065,17271,1981,1,,,,,,,,,,,
477,2/1/14,0:02,2/1/14,0:10,518,40.74780373,-73.9734419,528,40.74290902,-73.97706058,19366,1990,1,,,,,,,,,,,
707,2/1/14,0:02,2/1/14,0:14,257,40.71939226,-74.00247214,345,40.73649403,-73.99704374,17757,1962,1,,,,,,,,,,,
343,2/1/14,0:03,2/1/14,0:08,477,40.75640548,-73.9900262,493,40.7568001,-73.98291153,19734,1965,1,,,,,,,,,,,
813,2/1/14,0:03,2/1/14,0:16,317,40.72453734,-73.98185424,223,40.73781509,-73.99994661,18003,1942,1,,,,,,,,,,,
1491,2/1/14,0:03,2/1/14,0:28,527,40.74315566,-73.97434726,412,40.7158155,-73.99422366,17630,1986,1,,,,,,,,,,,
292,2/1/14,0:04,2/1/14,0:08,504,40.73221853,-73.98165557,487,40.73314259,-73.97573881,16115,1989,2,,,,,,,,,,,
259,2/1/14,0:05,2/1/14,0:09,316,40.70955958,-74.00653609,415,40.7047177,-74.00926027,20152,1980,2,,,,,,,,,,,
,2/1/14,0:05,2/1/14,0:09,490,40.751551,-73.993934,512,40.7500727,-73.99839279,17141,1990,1,,,,,,,,,,,
458,2/1/14,0:05,2/1/14,0:13,518,40.74780373,-73.9734419,326,40.72953837,-73.98426726,20774,1957,1,,,,,,,,,,,
297,2/1/14,0:05,2/1/14,0:10,450,40.76227205,-73.98788205,479,40.76019252,-73.9912551,21025,1951,2,,,,,,,,,,,
497,2/1/14,0:06,2/1/14,0:14,300,40.728145,-73.990214,174,-73.97738662,14827,1992,1,,,,,,,,,,,,
378,2/1/14,0:06,2/1/14,0:12,474,40.7451677,-73.98683077,442,40.746647,-73.993915,20157,1971,2,,,,,,,,,,,
695,2/1/14,0:06,2/1/14,0:18,490,40.751551,-73.993934,468,40.7652654,-73.98192338,21122,1979,1,,,,,,,,,,,
189,2/1/14,0:07,2/1/14,0:10,540,40.74147286,-73.98320928,507,40.73912601,-73.97973776,14945,1990,2,,,,,,,,,,,
286,2/1/14,0:07,2/1/14,0:11,347,40.72873888,-74.00748842,346,40.73652889,-74.00618026,16842,1982,1,,,,,,,,,,,
892,2/1/14,0:07,2/1/14,0:22,499,40.76915505,-73.98191841,490,40.751551,-73.993934,20799,1968,1,,,,,,,,,,,
636,2/1/14,0:08,2/1/14,0:19,285,40.73454567,-73.99074142,393,40.72299208,-73.97995466,19764,1984,1,,,,,,,,,,,
372,2/1/14,0:08,2/1/14,0:14,403,40.72502876,-73.99069656,349,40.71850211,-73.98329859,16507,1944,1,,,,,,,,,,,
664,2/1/14,0:08,2/1/14,0:19,237,40.73047309,-73.98672378,349,40.71850211,-73.98329859,17540,0,,,,,,,,,,,,
